SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
686,TOM FORD,VELVET ORCHID,"Honey, Rum, Mandarin","Orchid, Jasmine, Rose","Vanilla, Myrrh, Sandalwood","Velvet Orchid by Tom Ford is a captivating fragrance that opens with honey, rum, creating a fresh and inviting first impression. The heart reveals orchid, jasmine, adding depth and sophistication, while the base of vanilla, myrrh leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
687,TOM FORD,WHITE PATCHOULI,"Bergamot, Peony, Coriander","Rose, Jasmine, Ambrette","Patchouli, Incense, Woods","White Patchouli by Tom Ford is a captivating fragrance that opens with bergamot, peony, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of patchouli, incense leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
688,TOM FORD,AMBER ABSOLU,"Incense, Olibanum","Amber, Labdanum","Vanilla, Woody Notes, Musk","Amber Absolu by Tom Ford is a captivating fragrance that opens with incense, olibanum, creating a fresh and inviting first impression. The heart reveals amber, labdanum, adding depth and sophistication, while the base of vanilla, woody notes leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
689,TOM FORD,METALLIC,"Aldehydes, Bergamot","Heliotrope, Hawthorn","Vanilla, Ambrette, Sandalwood","Metallic by Tom Ford is a captivating fragrance that opens with aldehydes, bergamot, creating a fresh and inviting first impression. The heart reveals heliotrope, hawthorn, adding depth and sophistication, while the base of vanilla, ambrette leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
690,TOM FORD,BITTER PEACH,"Peach, Blood Orange, Cardamom","Rum, Cognac, Jasmine","Vanilla, Tonka Bean, Sandalwood","Bitter Peach by Tom Ford is a captivating fragrance that opens with peach, blood orange, creating a fresh and inviting first impression. The heart reveals rum, cognac, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
691,TOM FORD,SAHARA NOIR,"Labdanum, Bitter Orange, Cypress","Incense, Papyrus, Cinnamon","Amber, Olibanum, Woody Notes","Sahara Noir by Tom Ford is a captivating fragrance that opens with labdanum, bitter orange, creating a fresh and inviting first impression. The heart reveals incense, papyrus, adding depth and sophistication, while the base of amber, olibanum leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
692,TOM FORD,SHANGHAI LILY,"Clove, Pepper, Bergamot","Lily, Rose, Jasmine","Incense, Vanilla, Vetiver","Shanghai Lily by Tom Ford is a captivating fragrance that opens with clove, pepper, creating a fresh and inviting first impression. The heart reveals lily, rose, adding depth and sophistication, while the base of incense, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
693,TOM FORD,CHERRY SMOKE,"Cherry, Saffron","Leather, Olive, Osmanthus","Smoke, Woody Notes, Cypriol","Cherry Smoke by Tom Ford is a captivating fragrance that opens with cherry, saffron, creating a fresh and inviting first impression. The heart reveals leather, olive, adding depth and sophistication, while the base of smoke, woody notes leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
694,TOM FORD,OUD VOYAGER (H),"Citrus, Spices","Oud, Floral Notes","Amber, Musk, Woods","Oud Voyager (H) by Tom Ford is a captivating fragrance that opens with citrus, spices, creating a fresh and inviting first impression. The heart reveals oud, floral notes, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
695,TOM FORD,OUD VOYAGER (L),"Citrus, Fresh Notes","Oud, Rose","Amber, Musk, Woods","Oud Voyager (L) by Tom Ford is a captivating fragrance that opens with citrus, fresh notes, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
696,TOM FORD,OUD VOYAGER,"Citrus, Spices","Oud, Floral Notes","Amber, Musk, Woods","Oud Voyager by Tom Ford is a captivating fragrance that opens with citrus, spices, creating a fresh and inviting first impression. The heart reveals oud, floral notes, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
697,TOMFORD,SOLIEL BLANC -,"Bergamot, Cardamom, Pistachio","Ylang-Ylang, Tuberose, Coconut","Tonka Bean, Amber, Benzoin","Soliel Blanc - by Tomford is a captivating fragrance that opens with bergamot, cardamom, creating a fresh and inviting first impression. The heart reveals ylang-ylang, tuberose, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
698,TOMFORD,ROSE D AMALFI-,"Pink Pepper, Bergamot","Rose, Heliotrope","Almond, Vanilla, Musk","Rose D Amalfi- by Tomford is a captivating fragrance that opens with pink pepper, bergamot, creating a fresh and inviting first impression. The heart reveals rose, heliotrope, adding depth and sophistication, while the base of almond, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
699,TOMFORD,MANDARINO DI AMALFI -,"Mandarin, Lemon, Mint","Orange Blossom, Jasmine","Musk, Amber, Vetiver","Mandarino Di Amalfi - by Tomford is a captivating fragrance that opens with mandarin, lemon, creating a fresh and inviting first impression. The heart reveals orange blossom, jasmine, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
700,TOMFORD,BLACK VIOLET -,"Violet, Citrus","Floral Notes, Spices","Woody Notes, Amber, Musk","Black Violet - by Tomford is a captivating fragrance that opens with violet, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, spices, adding depth and sophistication, while the base of woody notes, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
701,TOMFORD,ROSE PRICK,"Sichuan Pepper, Turmeric","Rose, May Rose, Turkish Rose","Patchouli, Tonka Bean","Rose Prick by Tomford is a captivating fragrance that opens with sichuan pepper, turmeric, creating a fresh and inviting first impression. The heart reveals rose, may rose, adding depth and sophistication, while the base of patchouli, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
702,TOMFORD,VANILLA FATALE -,"Saffron, Coriander","Coffee, Plum, Barley","Vanilla, Mahogany, Tobacco","Vanilla Fatale - by Tomford is a captivating fragrance that opens with saffron, coriander, creating a fresh and inviting first impression. The heart reveals coffee, plum, adding depth and sophistication, while the base of vanilla, mahogany leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
703,TOMFORD,BEAU DE JOUR,"Lavender, Mint","Rosemary, Oakmoss","Patchouli, Amber","Beau De Jour by Tomford is a captivating fragrance that opens with lavender, mint, creating a fresh and inviting first impression. The heart reveals rosemary, oakmoss, adding depth and sophistication, while the base of patchouli, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
704,TOMFORD,PLUM JAPONAIS,"Plum, Cinnamon, Saffron","Immortelle, Cypress","Amber, Vanilla, Oud","Plum Japonais by Tomford is a captivating fragrance that opens with plum, cinnamon, creating a fresh and inviting first impression. The heart reveals immortelle, cypress, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
705,TOMFORD,WHITE SUEDE,"Thyme, Tea","Rose, Saffron","Suede, Musk, Amber","White Suede by Tomford is a captivating fragrance that opens with thyme, tea, creating a fresh and inviting first impression. The heart reveals rose, saffron, adding depth and sophistication, while the base of suede, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
706,TOMFORD,PATCHOLI ABSOLU,"Patchouli, Bay Leaf","Guaiac Wood, Moss","Amber, Leather","Patcholi Absolu by Tomford is a captivating fragrance that opens with patchouli, bay leaf, creating a fresh and inviting first impression. The heart reveals guaiac wood, moss, adding depth and sophistication, while the base of amber, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
707,TOMMY HILFIGER,TOMY GIRL,"Apple Blossom, Mandarin, Blackcurrant","Honeysuckle, Lily, Rose","Sandalwood, Cedarwood, Musk","Tomy Girl by Tommy Hilfiger is a captivating fragrance that opens with apple blossom, mandarin, creating a fresh and inviting first impression. The heart reveals honeysuckle, lily, adding depth and sophistication, while the base of sandalwood, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
708,VALENTINO,VALENTINO OUDH ABSOLUTE,"Saffron, Cardamom","Oud, Rose","Amber, Leather, Vanilla","Valentino Oudh Absolute by Valentino is a captivating fragrance that opens with saffron, cardamom, creating a fresh and inviting first impression. The heart reveals oud, rose, adding depth and sophistication, while the base of amber, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
709,VALENTINO,UOMO,"Bergamot, Myrtle","Coffee, Hazelnut, Chocolate","Leather, Cedarwood","Uomo by Valentino is a captivating fragrance that opens with bergamot, myrtle, creating a fresh and inviting first impression. The heart reveals coffee, hazelnut, adding depth and sophistication, while the base of leather, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
710,VALENTINO,UOMO BORN IN ROMA MEN,"Mineral Notes, Violet Leaf, Salt","Ginger, Sage","Vetiver, Woody Notes","Uomo Born In Roma Men by Valentino is a captivating fragrance that opens with mineral notes, violet leaf, creating a fresh and inviting first impression. The heart reveals ginger, sage, adding depth and sophistication, while the base of vetiver, woody notes leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
711,VALENTINO,UOMO INTENSE,"Clary Sage, Mandarin","Iris, Tonka Bean","Vanilla, Leather","Uomo Intense by Valentino is a captivating fragrance that opens with clary sage, mandarin, creating a fresh and inviting first impression. The heart reveals iris, tonka bean, adding depth and sophistication, while the base of vanilla, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
712,VALENTINO,VALENTINO UOMO,"Bergamot, Myrtle","Coffee, Hazelnut, Chocolate","Leather, Cedarwood","Valentino Uomo by Valentino is a captivating fragrance that opens with bergamot, myrtle, creating a fresh and inviting first impression. The heart reveals coffee, hazelnut, adding depth and sophistication, while the base of leather, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
